,No.,Video name,Uploader,Views (billions),Publication date,Year,Views,Artist
0,1,"""Baby Shark Dance""[4]",Pinkfong Baby Shark - Kids' Songs & Stories,12.0,2016-06-17,2016,12000000000.0,Pinkfong Baby Shark 
1,2,"""Despacito""[7]",Luis Fonsi,8.05,2017-01-12,2017,8050000000.000001,Luis Fonsi
2,3,"""Johny Johny Yes Papa""[14]",LooLoo Kids,6.57,2016-10-08,2016,6570000000.0,LooLoo Kids
3,4,"""Bath Song""[15]",Cocomelon – Nursery Rhymes,5.89,2018-05-02,2018,5890000000.0,Cocomelon 
4,5,"""Shape of You""[16]",Ed Sheeran,5.88,2017-01-30,2017,5880000000.0,Ed Sheeran
5,6,"""See You Again""[18]",Wiz Khalifa,5.74,2015-04-06,2015,5740000000.0,Wiz Khalifa
6,7,"""Phonics Song with Two Words""[23]",ChuChu TV,5.08,2014-03-06,2014,5080000000.0,ChuChu TV
7,8,"""Uptown Funk""[24]",Mark Ronson,4.79,2014-11-19,2014,4790000000.0,Mark Ronson
8,9,"""Wheels on the Bus""[25]",Cocomelon – Nursery Rhymes,4.77,2018-05-24,2018,4770000000.0,Cocomelon 
9,10,"""Learning Colors – Colorful Eggs on a Farm""[26]",Miroshka TV,4.76,2018-02-27,2018,4760000000.0,Miroshka TV
10,11,"""Gangnam Style""[27]",Psy,4.64,2012-07-15,2012,4640000000.0,Psy
11,12,"""Masha and the Bear – Recipe for Disaster""[32]",Get Movies,4.52,2012-01-31,2012,4520000000.0,Get Movies
12,13,"""Dame Tu Cosita""[33]",El Chombo,4.18,2018-04-05,2018,4179999999.9999995,El Chombo
13,14,"""Sugar""[34]",Maroon 5,3.8,2015-01-14,2015,3800000000.0,Maroon 5
14,15,"""Roar""[35]",Katy Perry,3.7,2013-09-05,2013,3700000000.0,Katy Perry
15,16,"""Counting Stars""[36]",OneRepublic,3.7,2013-05-31,2013,3700000000.0,OneRepublic
16,17,"""Axel F""[37]",Crazy Frog,3.67,2009-06-16,2009,3670000000.0,Crazy Frog
17,18,"""Sorry""[38]",Justin Bieber,3.62,2015-10-22,2015,3620000000.0,Justin Bieber
18,19,"""Thinking Out Loud""[39]",Ed Sheeran,3.53,2014-10-07,2014,3530000000.0,Ed Sheeran
19,20,"""Baa Baa Black Sheep""[40]",Cocomelon – Nursery Rhymes,3.46,2018-06-25,2018,3460000000.0,Cocomelon 
20,21,"""Dark Horse""[41]",Katy Perry,3.42,2014-02-20,2014,3420000000.0,Katy Perry
21,22,"""Waka Waka (This Time for Africa)""[42]",Shakira,3.4,2010-06-04,2010,3400000000.0,Shakira
22,23,"""Faded""[43]",Alan Walker,3.38,2015-12-03,2015,3380000000.0,Alan Walker
23,24,"""Let Her Go""[44]",Passenger,3.36,2012-07-25,2012,3360000000.0,Passenger
24,25,"""Girls Like You""[45]",Maroon 5,3.35,2018-05-31,2018,3350000000.0,Maroon 5
25,26,"""Perfect""[46]",Ed Sheeran,3.33,2017-11-09,2017,3330000000.0,Ed Sheeran
26,27,"""Bailando""[47]",Enrique Iglesias,3.31,2014-04-11,2014,3310000000.0,Enrique Iglesias
27,28,"""Lean On""[48]",Major Lazer,3.31,2015-03-22,2015,3310000000.0,Major Lazer
28,29,"""Humpty the train on a fruits ride""[49]",Kiddiestv Hindi – Nursery Rhymes & Kids Songs,3.26,2018-01-26,2018,3260000000.0,Kiddiestv Hindi 
29,30,"""Lakdi Ki Kathi""[50]",Jingle Toons,3.24,2018-06-14,2018,3240000000.0,Jingle Toons
